banco;qtdUsers;qtdTransacoes;tipo;tempoInicial;tempoFinal;duracao;vazao;erros
1;10;10;1;1487519193291;1487519194260;0;100.0;0;
1;10;10;1;1487519195446;1487519196442;0;100.0;0;
1;10;10;1;1487519197431;1487519198375;0;100.0;0;
1;10;10;1;1487519205961;1487519206957;0;100.0;0;
1;10;10;1;1487519207915;1487519208837;0;100.0;0;
1;10;100;1;1487519231806;1487519233785;1;1000.0;0;
1;100;100;1;1487519252101;1487519261532;9;1111.0;0;
1;100;100;2;1487527181993;1487527182204;0;10000.0;0;
1;100;100;2;1487527275151;1487527276030;0;10000.0;0;
1;10;10;2;1487527323805;1487527323925;0;100.0;0;
1;10;10;2;1487527442855;1487527443917;1;100.0;0;
